Year	Period	TRADETYPE	FLOW	PARTENAIRE	HS2012	POIDNET	QUANTITE	VALEURINSAE	
2001	06	CG	I	ZZ_Monde	1905	91730.000	0.000	43003763.000	
2002	11	CG	I	ZZ_Monde	2104	91722.000	0.000	155041617.000	
2015	12	CG	ET	ZZ_Monde	9403	91706.000	407.000	114929915.000	
2002	03	CG	I	ZZ_Monde	4802	91701.000	0.000	44032851.000	
1999	05	CG	I	ZZ_Monde	7323	91693.000	0.000	61330531.000	
1998	04	CG	I	ZZ_Monde	3304	91688.000	0.000	93885654.000	
2007	08	CG	I	ZZ_Monde	8309	91598.000	0.000	230564808.000	
2006	05	CG	I	ZZ_Monde	4818	91587.000	0.000	46696308.000	
2014	04	CG	ET	ZZ_Monde	7209	91570.000		31857731.000	
2004	10	CG	I	ZZ_Monde	5209	91499.000	1417.000	87705619.000	
1998	03	CG	I	ZZ_Monde	8716	91488.000	91488.000	24455600.000	
2013	08	CG	I	ZZ_Monde	1512	91450.000		25880000.000	
1998	02	CG	ET	ZZ_Monde	1511	91439.000	0.000	22859750.000	
2007	08	CG	I	ZZ_Monde	2402	91398.000	0.000	520695752.000	
2002	09	CG	I	ZZ_Monde	1905	91394.000	0.000	39767508.000	
2001	06	CG	I	ZZ_Monde	6405	91393.000	0.000	39703674.000	
2006	12	CG	I	ZZ_Monde	7323	91312.000	0.000	27526306.000	
1998	07	CG	ET	ZZ_Monde	4407	91260.000	0.000	36889216.000	
2012	07	CG	I	ZZ_Monde	4818	91228.250		60626476.000	
1999	03	CG	I	ZZ_Monde	4802	91196.000	0.000	62825900.000	
2014	06	CG	I	ZZ_Monde	2402	91175.000		145034818.000	
2011	02	CG	I	ZZ_Monde	8714	91168.000	3258.000	36325166.000	
2004	02	CG	I	ZZ_Monde	2103	91143.000	0.000	50438612.000	
2013	10	CG	I	ZZ_Monde	8309	91140.500		193546351.000	
2002	10	CG	ET	ZZ_Monde	3401	91120.000	0.000	43054200.000	
2000	01	CG	ET	ZZ_Monde	2103	91088.000	0.000	51467000.000	
2010	12	CG	I	ZZ_Monde	5512	91068.000	1539.000	54696125.000	
2010	05	CG	I	ZZ_Monde	7005	91056.000		8783426.000	
2011	08	CG	I	ZZ_Monde	1901	91052.420		123204797.000	
2000	07	CG	I	ZZ_Monde	5512	91045.000	0.000	135186400.000	
2013	12	CG	I	ZZ_Monde	1602	91002.000		64608098.000	
2001	09	CG	I	ZZ_Monde	3401	90986.000	0.000	64031110.000	
2005	09	CG	I	ZZ_Monde	3917	90980.000	0.000	60225947.000	
2009	05	CG	I	ZZ_Monde	7005	90971.000	0.000	25008483.000	
2014	05	CG	ET	ZZ_Monde	7216	90932.000		30682412.000	
2010	06	CG	I	ZZ_Monde	2402	90884.000		269489820.000	
2005	03	CG	I	ZZ_Monde	4412	90877.000	0.000	34868827.000	
1999	03	CG	I	ZZ_Monde	2103	90851.000	0.000	51719585.000	
2013	07	CG	I	ZZ_Monde	2402	90771.000		215272489.000	
2004	05	CG	I	ZZ_Monde	2104	90744.000	0.000	155025157.000	
2014	09	CG	I	ZZ_Monde	2402	90731.000		157359384.000	
2005	09	CG	I	ZZ_Monde	8711	90730.000	330.000	185396245.000	
2011	08	CG	I	ZZ_Monde	8309	90700.000		199133856.000	
2012	02	CG	I	ZZ_Monde	4901	90681.270		248894976.000	
2003	02	CG	I	ZZ_Monde	3907	90640.000	0.000	75335577.000	
2003	06	CG	ET	ZZ_Monde	0402	90625.000	0.000	115050614.000	
2008	09	CG	I	ZZ_Monde	4901	90602.000	0.000	138807918.000	
1999	03	CG	I	ZZ_Monde	3402	90592.000	0.000	38427791.000	
2004	04	CG	I	ZZ_Monde	2711	90547.000	0.000	18906244.000	
2011	09	CG	I	ZZ_Monde	3917	90529.000		43110991.000	
2007	07	CG	I	ZZ_Monde	8429	90509.000	0.000	130001414.000	
2015	10	CG	I	ZZ_Monde	0401	90507.000		49021239.000	
1998	02	CG	I	ZZ_Monde	3004	90502.000	0.000	553906617.000	
2013	04	CG	ET	ZZ_Monde	8431	90480.000		421409816.000	
2012	11	CG	I	ZZ_Monde	1602	90419.000		74133157.000	
2012	12	CG	ET	ZZ_Monde	2009	90400.000	976.000	17636000.000	
1999	08	CG	ET	ZZ_Monde	8429	90396.000	4.000	110111370.000	
2012	04	CG	I	ZZ_Monde	8429	90325.000	14.000	217945977.000	
2002	12	CG	ET	ZZ_Monde	2103	90300.000	0.000	51399056.000	
2002	02	CG	I	ZZ_Monde	1905	90281.000	0.000	41563819.000	
2000	03	CG	I	ZZ_Monde	2009	90274.000	0.000	35619800.000	
2015	06	CG	ET	ZZ_Monde	7210	90200.000		50038599.000	
2010	03	CG	I	ZZ_Monde	7217	90200.000		30817695.000	
1999	11	CG	I	ZZ_Monde	2203	90193.000	0.000	18794642.000	
2000	04	CG	I	ZZ_Monde	2104	90162.000	0.000	137020185.000	
2009	04	CG	I	ZZ_Monde	2009	90145.000	0.000	25208953.000	
2002	01	CG	ET	ZZ_Monde	2711	90140.000	0.000	18136469.000	
2008	07	CG	I	ZZ_Monde	7216	90130.000	0.000	35825725.000	
2003	11	CG	I	ZZ_Monde	3917	90045.000	0.000	58202345.000	
2015	02	CG	I	ZZ_Monde	7217	90035.000		51257525.000	
2005	09	CG	ET	ZZ_Monde	2402	90030.000	0.000	499386750.000	
2014	04	CG	ET	ZZ_Monde	7602	90000.000		4500000.000	
2014	07	CG	ET	ZZ_Monde	7214	90000.000		29250030.000	
2015	01	CG	ET	ZZ_Monde	7217	90000.000		22147270.000	
2013	11	CG	ET	ZZ_Monde	7602	90000.000		4800000.000	
2011	12	CG	ET	ZZ_Monde	3401	90000.000		53100000.000	
2012	01	CG	ET	ZZ_Monde	7216	90000.000		35915310.000	
2015	04	CG	ET	ZZ_Monde	7209	90000.000		30531352.000	
2012	05	CG	ET	ZZ_Monde	7602	90000.000		4500000.000	
2002	10	CG	ET	ZZ_Monde	1512	90000.000	0.000	31500000.000	
2015	02	CG	I	ZZ_Monde	2306	90000.000		3600000.000	
2015	03	CG	ET	ZZ_Monde	1101	90000.000		12600000.000	
2007	10	CG	ET	ZZ_Monde	7214	90000.000	0.000	24027815.000	
2015	02	CG	ET	ZZ_Monde	1103	90000.000		28565910.000	
2003	07	CG	I	ZZ_Monde	4412	89968.000	0.000	32666010.000	
2009	07	CG	I	ZZ_Monde	3907	89960.000	0.000	77970809.000	
2005	09	CG	I	ZZ_Monde	0401	89958.000	0.000	33942744.000	
2015	02	CG	ET	ZZ_Monde	1512	89920.000		51401200.000	
2010	01	CG	I	ZZ_Monde	3907	89905.000		79240833.000	
2007	03	CG	I	ZZ_Monde	0401	89874.000	0.000	32351540.000	
2002	08	CG	ET	ZZ_Monde	2202	89868.000	0.000	48056284.000	
2002	07	CG	I	ZZ_Monde	1901	89777.000	0.000	153860110.000	
2006	06	CG	I	ZZ_Monde	4901	89740.000	0.000	53946479.000	
2003	10	CG	I	ZZ_Monde	3907	89736.000	0.000	79908391.000	
2008	12	CG	ET	ZZ_Monde	2402	89663.000	0.000	766493502.000	
2005	12	CG	I	ZZ_Monde	2104	89645.000	0.000	164586140.000	
2002	12	CG	I	ZZ_Monde	8429	89620.000	0.000	99091863.000	
2000	08	CG	I	ZZ_Monde	7005	89589.000	0.000	32479745.000	
2003	10	CG	I	ZZ_Monde	7323	89585.000	0.000	41539493.000	
2004	11	CG	I	ZZ_Monde	3917	89557.000	0.000	120364470.000	
2014	04	CG	I	ZZ_Monde	4818	89536.000		27225263.000	
2004	01	CG	I	ZZ_Monde	5512	89521.000	1330.000	115155887.000	
2002	04	CG	I	ZZ_Monde	9403	89506.000	0.000	111508594.000	
2004	09	CG	I	ZZ_Monde	4802	89478.000	0.000	41039475.000	
2003	04	CG	I	ZZ_Monde	4011	89411.000	0.000	187554174.000	
2001	04	CG	I	ZZ_Monde	4802	89405.000	0.000	43376800.000	
2012	12	CG	I	ZZ_Monde	0401	89403.000		42993803.000	
1998	10	CG	I	ZZ_Monde	3401	89359.000	0.000	50820884.000	
2001	11	CG	I	ZZ_Monde	1511	89301.000	0.000	31798731.000	
2012	07	CG	ET	ZZ_Monde	7217	89296.000		57485547.000	
1999	07	CG	I	ZZ_Monde	2009	89295.000	9799.000	37946299.000	
2002	06	CG	I	ZZ_Monde	1901	89278.000	0.000	139009040.000	
2012	02	CG	I	ZZ_Monde	8429	89275.000	6.000	39332947.000	
1998	03	CG	I	ZZ_Monde	4011	89254.000	6757.000	147080952.000	
1999	05	CG	I	ZZ_Monde	8309	89229.000	0.000	143941874.000	
2002	10	CG	I	ZZ_Monde	4011	89224.000	0.000	144559866.000	
2009	12	CG	I	ZZ_Monde	4901	89207.000	0.000	215465060.000	
2002	12	CG	I	ZZ_Monde	1005	89176.000	0.000	25278671.000	
2005	01	CG	I	ZZ_Monde	3304	89154.000	0.000	35648473.000	
2008	12	CG	I	ZZ_Monde	4901	89142.000	0.000	125654230.000	
2006	05	CG	I	ZZ_Monde	4202	89128.000	2870.000	49422751.000	
2001	10	CG	I	ZZ_Monde	8714	89121.000	0.000	34324460.000	
2000	01	CG	I	ZZ_Monde	3401	89104.000	0.000	39151919.000	
2002	06	CG	I	ZZ_Monde	6109	89095.000	0.000	62813390.000	
2001	02	CG	I	ZZ_Monde	3923	89057.000	0.000	41651107.000	
2014	02	CG	I	ZZ_Monde	7215	89043.000		15136516.000	
2010	08	CG	ET	ZZ_Monde	7216	89000.000		26647719.000	
2001	04	CG	ET	ZZ_Monde	2103	88995.000	0.000	47892000.000	
2004	08	CG	ET	ZZ_Monde	4901	88990.000	0.000	184617500.000	
2008	03	CG	I	ZZ_Monde	5512	88973.000	0.000	34648469.000	
1999	08	CG	I	ZZ_Monde	5208	88955.000	1682.000	476711746.000	
2004	07	CG	I	ZZ_Monde	6402	88955.000	3180.000	46260298.000	
2012	05	CG	I	ZZ_Monde	4802	88911.000		39088293.000	
2000	10	CG	ET	ZZ_Monde	4901	88898.000	0.000	136319200.000	
2014	07	CG	I	ZZ_Monde	8309	88897.000		153906249.000	
2015	02	CG	I	ZZ_Monde	8708	88855.300		173891358.000	
1998	10	CG	I	ZZ_Monde	0401	88815.000	0.000	38765500.000	
2003	05	CG	ET	ZZ_Monde	2402	88807.000	0.000	542428000.000	
2011	04	CG	I	ZZ_Monde	2402	88806.000		146873612.000	
2008	12	CG	I	ZZ_Monde	2104	88799.000	0.000	29687865.000	
2005	10	CG	I	ZZ_Monde	4011	88789.000	7620.000	94858819.000	
2002	08	CG	I	ZZ_Monde	6402	88781.000	0.000	36993998.000	
2015	07	CG	I	ZZ_Monde	2402	88761.000		269899178.000	
2004	10	CG	I	ZZ_Monde	6402	88736.000	3150.000	36138352.000	
2000	02	CG	I	ZZ_Monde	3401	88725.000	0.000	57567111.000	
2006	02	CG	ET	ZZ_Monde	7602	88719.000	0.000	3419530.000	
1999	05	CG	I	ZZ_Monde	5208	88706.000	1073.000	913237272.000	
2001	05	CG	I	ZZ_Monde	5515	88658.000	0.000	63256523.000	
2014	09	CG	I	ZZ_Monde	0401	88619.000		36986397.000	
2006	09	CG	ET	ZZ_Monde	2711	88600.000	0.000	31091859.000	
2010	01	CG	I	ZZ_Monde	7604	88577.000		58024523.000	
2007	08	CG	I	ZZ_Monde	1602	88550.000	0.000	59604782.000	
2013	07	CG	I	ZZ_Monde	0401	88547.000		46581826.000	
2000	03	CG	I	ZZ_Monde	9403	88519.000	0.000	57853529.000	
2006	01	CG	I	ZZ_Monde	8711	88516.000	773.000	209199265.000	
2010	09	CG	I	ZZ_Monde	4818	88515.000		24360716.000	
2004	02	CG	I	ZZ_Monde	2202	88511.000	45441.000	18619610.000	
2008	11	CG	I	ZZ_Monde	7216	88353.000	0.000	43076951.000	
2005	08	CG	I	ZZ_Monde	8506	88352.000	0.000	57278959.000	
1999	12	CG	I	ZZ_Monde	1704	88341.000	0.000	68196238.000	
2007	11	CG	ET	ZZ_Monde	3917	88319.000	0.000	117786901.000	
2001	11	CG	ET	ZZ_Monde	2103	88289.000	0.000	36624700.000	
2015	10	CG	I	ZZ_Monde	7604	88274.000		45710905.000	
2012	01	CG	ET	ZZ_Monde	8704	88262.750	8.000	34267123.000	
1998	01	CG	I	ZZ_Monde	1704	88242.000	0.000	18609300.000	
2004	02	CG	I	ZZ_Monde	8711	88214.000	754.000	192386839.000	
2000	04	CG	I	ZZ_Monde	2202	88198.000	0.000	34863166.000	
2009	10	CG	I	ZZ_Monde	7604	88170.000	0.000	48117652.000	
2002	07	CG	I	ZZ_Monde	3917	88170.000	0.000	68140739.000	
2000	01	CG	I	ZZ_Monde	3917	88170.000	0.000	94715553.000	
2008	11	CG	ET	ZZ_Monde	8429	88156.000	0.000	583874868.000	
2011	01	CG	I	ZZ_Monde	8708	88150.360		125756054.000	
2000	12	CG	ET	ZZ_Monde	3208	88134.000	0.000	50453188.000	
2003	11	CG	I	ZZ_Monde	4011	88053.000	5409.000	130399401.000	
2013	11	CG	I	ZZ_Monde	4818	88044.000		57401144.000	
2008	10	CG	I	ZZ_Monde	0401	88028.000	0.000	37240404.000	
2001	08	CG	I	ZZ_Monde	8711	88027.000	0.000	288408602.000	
2010	01	CG	ET	ZZ_Monde	7217	88000.000		39880000.000	
2015	04	CG	ET	ZZ_Monde	8704	87997.000	13.000	180270297.000	
2010	05	CG	I	ZZ_Monde	3105	87965.000		2775698.000	
1998	12	CG	I	ZZ_Monde	1905	87958.000	0.000	67356744.000	
2012	07	CG	ET	ZZ_Monde	9403	87930.000	231.000	107006253.000	
2001	05	CG	ET	ZZ_Monde	1902	87924.000	0.000	45730200.000	
2008	10	CG	I	ZZ_Monde	8309	87910.000	0.000	200571343.000	
2008	04	CG	I	ZZ_Monde	1601	87889.000	0.000	35498910.000	
2004	01	CG	I	ZZ_Monde	7216	87887.000	0.000	32097301.000	
2000	01	CG	ET	ZZ_Monde	5209	87886.000	0.000	181717800.000	
2004	01	CG	ET	ZZ_Monde	2402	87794.000	0.000	489613550.000	
2011	09	CG	I	ZZ_Monde	3907	87775.000		112031754.000	
1998	03	CG	I	ZZ_Monde	9403	87774.000	0.000	66084841.000	
2014	04	CG	ET	ZZ_Monde	7217	87750.000		57121910.000	
2015	09	CG	ET	ZZ_Monde	2009	87700.000		16563600.000	
2005	10	CG	I	ZZ_Monde	6405	87658.000	2624.000	64487492.000	
2005	01	CG	I	ZZ_Monde	8714	87643.000	3354.000	25397053.000	
2006	01	CG	I	ZZ_Monde	2202	87617.000	8615.000	35775243.000	
2014	02	CG	I	ZZ_Monde	7323	87563.000		29506163.000	
2014	01	CG	I	ZZ_Monde	4901	87546.720		110854151.000	
2001	09	CG	I	ZZ_Monde	4202	87546.000	0.000	76573224.000	
2013	04	CG	I	ZZ_Monde	8708	87535.000		126355533.000	
2015	04	CG	I	ZZ_Monde	1602	87526.000		66661108.000	
2001	04	CG	ET	ZZ_Monde	4012	87489.000	0.000	55802189.000	
2008	05	CG	I	ZZ_Monde	0401	87477.000	0.000	38006859.000	
2013	09	CG	I	ZZ_Monde	7604	87446.000		77945905.000	
2008	06	CG	I	ZZ_Monde	4011	87434.000	1750.000	97385049.000	
2013	07	CG	ET	ZZ_Monde	2009	87400.000		13090000.000	
2007	03	CG	I	ZZ_Monde	3917	87389.000	0.000	56379241.000	
2012	01	CG	I	ZZ_Monde	4011	87367.000	1068.000	157269568.000	
1998	09	CG	ET	ZZ_Monde	2103	87334.000	0.000	49853256.000	
2000	06	CG	ET	ZZ_Monde	2202	87306.000	0.000	14765000.000	
2008	10	CG	I	ZZ_Monde	8502	87304.000	0.000	309645879.000	
2001	01	CG	I	ZZ_Monde	6402	87296.000	0.000	58423712.000	
1999	07	CG	ET	ZZ_Monde	5208	87281.000	858.000	144391123.000	
2000	05	CG	ET	ZZ_Monde	2103	87280.000	0.000	50284000.000	
2010	01	CG	I	ZZ_Monde	1601	87260.680		42476481.000	
2006	02	CG	I	ZZ_Monde	6402	87240.000	975.000	20282100.000	
2005	02	CG	I	ZZ_Monde	9403	87235.000	1408.000	79875054.000	
2002	09	CG	I	ZZ_Monde	3924	87194.000	0.000	51893076.000	
1998	11	CG	I	ZZ_Monde	2711	87165.000	0.000	18601149.000	
2004	12	CG	I	ZZ_Monde	2402	87141.000	0.000	341841377.000	
2006	05	CG	ET	ZZ_Monde	8429	87100.000	2.000	19611356.000	
2010	10	CG	I	ZZ_Monde	4412	87050.000		33033283.000	
2009	08	CG	I	ZZ_Monde	3907	87040.000	0.000	63818839.000	
2003	03	CG	I	ZZ_Monde	9403	87028.000	0.000	74454463.000	
2014	08	CG	ET	ZZ_Monde	0303	87000.000		32999500.000	
2001	01	CG	ET	ZZ_Monde	4407	87000.000	0.000	18166200.000	
2009	04	CG	ET	ZZ_Monde	7210	87000.000	0.000	48496597.000	
2000	05	CG	I	ZZ_Monde	2104	86975.000	0.000	135205881.000	
2000	09	CG	I	ZZ_Monde	0401	86960.000	0.000	37918333.000	
2014	11	CG	I	ZZ_Monde	4901	86927.700		282732492.000	
2002	10	CG	I	ZZ_Monde	5512	86918.000	0.000	62826205.000	
2010	10	CG	I	ZZ_Monde	4901	86885.350		119027921.000	
2013	03	CG	ET	ZZ_Monde	2202	86877.000	11598.000	25637626.000	
2009	03	CG	I	ZZ_Monde	0401	86852.000	0.000	33812613.000	
1999	11	CG	ET	ZZ_Monde	2103	86848.000	0.000	49051944.000	
2013	05	CG	I	ZZ_Monde	3917	86846.310		52755106.000	
2008	02	CG	I	ZZ_Monde	2103	86821.000	0.000	28188710.000	
2009	08	CG	ET	ZZ_Monde	8704	86795.000	0.000	138157481.000	
1999	07	CG	I	ZZ_Monde	2711	86717.000	0.000	28469782.000	
2009	05	CG	I	ZZ_Monde	7323	86711.000	0.000	32925385.000	
2004	05	CG	I	ZZ_Monde	9403	86710.000	6452.000	52942049.000	
2001	05	CG	I	ZZ_Monde	7010	86702.000	0.000	33718700.000	
1998	11	CG	I	ZZ_Monde	1704	86671.000	0.000	36524982.000	
2002	10	CG	ET	ZZ_Monde	2202	86600.000	0.000	31788476.000	
2009	12	CG	I	ZZ_Monde	1601	86572.000	0.000	51959249.000	
2002	07	CG	I	ZZ_Monde	8309	86572.000	0.000	146476524.000	
2002	02	CG	I	ZZ_Monde	3923	86510.000	0.000	61327849.000	
2009	02	CG	ET	ZZ_Monde	7210	86455.000	0.000	46643525.000	
2005	07	CG	I	ZZ_Monde	5515	86450.000	3043.000	96246383.000	
2001	12	CG	I	ZZ_Monde	7005	86438.000	0.000	24751057.000	
2005	01	CG	I	ZZ_Monde	0401	86408.000	0.000	29099703.000	
2007	10	CG	I	ZZ_Monde	4011	86395.000	0.000	172121625.000	
2006	09	CG	I	ZZ_Monde	8506	86395.000	0.000	11720261.000	
2009	02	CG	ET	ZZ_Monde	8429	86392.000	0.000	311272960.000	
2001	06	CG	I	ZZ_Monde	2104	86349.000	0.000	145552118.000	
2011	05	CG	I	ZZ_Monde	5512	86338.500	3018.000	53405019.000	
1998	12	CG	I	ZZ_Monde	2711	86306.000	0.000	17426739.000	
2001	08	CG	ET	ZZ_Monde	2402	86253.000	0.000	623492900.000	
